SUPPLIER,PRODUCT CODE,DESCRIPTION,UOM,PRICE
Badili Hardware,7-03-0039,Chest Lock Freezer 400L -HSFZ-400W - Haus,Each,2239.9
Badili Hardware,7-06-0403,Blue Star Inverter Split Aircon 18000BTU(1.5TR)R32-IC18MYATU,Set,2199.9
Badili Hardware,8-34-1261,Day Light Switch 10 Amps,Each,229.9
Badili Hardware,8-36-1556,KUMUL LED Light Fitting Complete W/Tube 1x36Watt-SFB2 1C 136,Set,36.9
Badili Hardware,8-34-1202,Double GPO 10 Amps - Horizontal -KS315,Each,19.9
Badili Hardware,8-34-1254,1 Gang Switch - Vertical - KS302-V,Each,11.95
Badili Hardware,6-06-1332,DWV Finishing Collar DT Grate Short 125mm - 172G.100,Each,5.9
Badili Hardware,6-06-1341,DWV Adjustable Disconnector Trap 100mm - 159.100,Each,28.5
Badili Hardware,6-05-0552,DWV Pipe SWJ - 50mm x 5.8Mtr,Length,64.9
Badili Hardware,06/07/02341,Copper Tube Lagged 'Type B(15)' - 12.70mmx0.91mmx18Mtr,Roll,695
Badili Hardware,7-94-0065,BFI Fire Extinguisher Dry Chemical Powder(DCP) 1.5Kg-BF15ABE,Each,129.95
Badili Hardware,7-01-0202,Personal First Aid Kit Soft Case - FANCP30,Set,99.9
Badili Hardware,7-94-0951,"BFI Fire Alarm Bell  24V DC 6"" Red - FAS194-LA-150",Each,219.9
Badili Hardware,8-34-1746,Legrand PhotEle IRF Wireless SurfaceMount Smoke Alarm-643091,Each,149.9
Badili Hardware,7-94-0161,BFI - Fire Blanket - 1.8Mtr x 1.8Mtr - FBT1818,Each,139.9
Leon Building Supply,319408,(BOSTIK) ECOFIX TILE ADHESIVE GREY 20KG,Bag,33
Leon Building Supply,314479,PYE TILE GROUT GREY 10KG,Each,45.5
Leon Building Supply,601564,BOOK CABINET (3292#) 243292,Set,420
Leon Building Supply,601514,HX10-18BKZ 861018 STUDY TABLE (DOUBLE) 1050X360X750,Set,396
Leon Building Supply,601323,OFFICE TABLE 1.4M A05614/WX-A56-14#,Each,928
Leon Building Supply,604044,CHAIR (304) A40304,Each,208
Leon Building Supply,604277,PLASTIC STOOL(ASST) 350003,Each,28.5
Leon Building Supply,604350,DISH DRYING STORAGE W/ DRAINER J084056,Each,93
Leon Building Supply,604626,J084010- RUBBISH BIN 50L (8103),Each,28.5
Leon Building Supply,605767,24AMG4G005 MIDEA GAS STOVE 4BRN 60*58*90CM(122217),Each,1490
Leon Building Supply,607501,MERT490MTF46AP/MIDEA FRIDGE 338L,Each,2767
Leon Building Supply,602620,COMPUTER TABLE 1200X600 107/720107,Each,328
Leon Building Supply,604235,CABINET 100300(HX-W053)1800*850*390,Each,576
Leon Building Supply,600694,OFFICE CHAIR (W10-A) A40102,Each,360
Leon Building Supply,607384,C70011/9107-F06 DINING TABLE SET 1+4,Each,730
Leon Building Supply,600927,DRAWER CABINET (1805#) 241805,Each,608
Leon Building Supply,607140,J017640/J017003 PLASTIC CHAIR,Each,47.11
Badili Hardware,1020051,Fibro Cement Sheet - 2400mm x 1200mm x 4.5mm (8'x4'x4.5mm),Sheet,49.95
Badili Hardware,2355031,Dulux Ultimate High Gloss Enamel 4L,Can,159.9
Badili Hardware,2355332,Dulux Paint Tinting Charges 4 Litres - Casper White,Each,38.5
Atlas Steel PNG,1464014,Coloured Flashing 0.48 per SqM Surfmist (Off White) End Covers 57lthsx3.0mx170mm girths,Square Meter,64.73
Atlas Steel PNG,1464014,Coloured Flashing 0.48 per SqM Surfmist (Off White) Sunshade Louvre 230lthsx1.20mx210mm girths,Square Meter,64.73
Brian Bell Trade Electrical,118386,GPO W/PROOF DOUBLE 15A TESLA WPGPO2/15 WPGPO2N/15,Each,97.73
Brian Bell Trade Electrical,115129,ELBOW SOLID 20mm PVC SE20-GEN CONDUIT FITTING,Each,1.82
Brian Bell Trade Electrical,103986,CONDUIT CORR MD 20mmX50M GY CC2050MD-GEN MEDIUM DUTY 50MTR ROLL,Meter,5.45
Brian Bell Trade Electrical,114246,ADAPTOR PLAIN-SCREW 20mm PVC PSA20-GEN + LOCK RING,Each,1.36
Brian Bell Trade Electrical,123088,ISOLATOR 2P 20A W/P TESLA HPF220,Each,37.27
Brian Bell Trade Electrical,103856,DUCT PVC 25X16mm 4M WHITE CD2516WH-GEN,Each,20
Brian Bell Trade Electrical,107925,REGULATOR for CEILING FAN 36IN SMC K36REG,Each,79.55
Brian Bell Trade Electrical,114380,JUNCTION BOX 3WY 20mm SHLW PVC JBS3W20PVC-GEN CONDUIT FITTING,Each,9.09
Brian Bell Trade Electrical,118068,ADAPTABLE BOX 230X150X85mm AB23015085-GEN 75x150mm adaptable box N/STOCK,Each,40.91
Hardware Haus,6070201,Dulux Mineral Turpentine 4L (Paint Thinner & Cleaner),Each,110
Hardware Haus,6020629,Paradise Paints Anti Rust Grey (Metal Primer) 4Ltr,Each,108.18
Hardware Haus,6020099,Dulux Super Enamel High Gloss Blue Base 4 Litre,Each,388.18
Hardware Haus,6040720,Selleys All Clear 250gm Sealant Cartridge,Each,60.72
Hardware Haus,3020333,ASL Roofing Screw Galv 12Gx50 W/Seal#TING1250P SNAP_PAC 8pcs,Pack,10.95
Hardware Haus,1080717,Tie Wire - Galv 1.6mm x 5KG (315M),Coil,47.64
Hardware Haus,8010215,Makita Drill Bits SDS PLUS 5.5 x 100mm #D-31033,Each,4.64
Hardware Haus,5082122,"Copper Pipe Length 19.05mm 3/4"" x 5.8M Tube",Each,175
Hardware Haus,2010517,Compress Sheet (Cement Board) 18mm 2.4x1.2m SCG,Sheet,299.09
Hardware Haus,1030438,Premixed Mastik Tle Adhesive 20L SAS (Multistick),Bag,318.18
Hardware Haus,5031193,Maspion Wall Mirror Oval WM-9 #KW-44,Each,31.82
Hardware Haus,3030443,Mirror Holders Plastic 4mm CD4 #WAB0011,Each,3.18
Hardware Haus,2010508,Fibro Cement Board 6.0mmx1.2x.2.4m SCG,Sheet,145.45
Hardware Haus,10090015,Panelrib Colourbond 0.40x850mm [per meter] 6@6m,Meter,54.55
Hardware Haus,10090015,Panelrib Colourbond 0.40x850mm [per meter] 4@6m,Meter,54.55
Hardware Haus,3040191,Screw Timber PHL CS 4.0x40,Each,75.41
Hardware Haus,11099511,Total Staples 8mm (1000pcs),Each,2.73
Hardware Haus,8010154,Makita Abrasive Cutting Disc 125*1 #D-75530,Each,3.73
Hardware Haus,8400646,Makita Multi Function Drill Bit Bit3x60,Each,15.45
Hardware Haus,6050512,Packing Tape Clear 40mm*120m*4.8 mic,Each,3.63
Hardware Haus,3040442,Screw Stitch C3 PHL 8-15x25 PBX100 #CBZ7425,Each,20.56
